subfamily,members without REFs,hmm_1,hmm_2,hmm_3,hmm_4,hmm_5,hmm_6,hmm_7,hmm_8,hmm_9,hmm_10,hmm_11,hmm_12,hmm_13,hmm_14,hmm_15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
3,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
4,14,0,0,0,2,0,0,0,0,0,0,0,1,11,0,0
5,87,46,0,40,0,0,1,0,0,0,0,0,0,0,0,0
6,90,0,69,0,0,0,0,0,0,21,0,0,0,0,0,0
7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
9,60,0,0,0,57,3,0,0,0,0,0,0,0,0,0,0
10,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
13,11,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0
14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,16,0,0,0,1,0,0,0,0,0,0,0,0,0,6,9
17,6,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
