ID,Subfamily
ATamarense,1
3300012031 Ga0136561 1000418,2
3300000502 M590M2 1006461,2
3300007074 Ga0075110 1001386,2
Mavirus,2
3300012145 Ga0136566 1000368,2
ALM,2
3300006108 Ga0007862 1000466,3
3300007640 Ga0070751 1001973,3
3300009151 Ga0114962 10001691,3
4762 TBL comb47 HYPODRAFT 10005660,3
YSLV7,3
3300009152 Ga0114980 10001820,3
3300014819 Ga0119954 1000547,3
4762 TBL comb47 HYPODRAFT 10005622,4
3300010885 Ga0133913 10020643,4
3300006127 Ga0007805 1000262,4
3300010157 Ga0114964 10001356,4
3300004806 Ga0007854 10001399,4
3300001798 JGI24126J20157 1000438,4
3300009163 Ga0114970 10002242,4
3300010885 Ga0133913 10048336,4
3300002098 JGI24219J26650 1000491,4
3300002098 JGI24219J26650 1000581,4
3300005581 Ga0049081 10000582,4
3300006129 Ga0007834 1000393,4
3300006484 Ga0070744 10000380,4
3300001605 Draft 10009362,4
3300009001 Ga0102963 1001410,4
3300004806 Ga0007854 10000594,5
4764 contig 157001142 23327,5
3300002835 B570J40625 100005612,5
4764 contig 2256000135 22196,5
3300002835 B570J40625 100006212,5
3300010885 Ga0133913 10012200,5
YSLV2,5
3300010885 Ga0133913 10036964,5
3300013126 Ga0172367 10002920,5
3300009070 Ga0066256 1002412,5
3300009684 Ga0114958 10002157,5
3300005662 Ga0078894 10001308,5
3300010157 Ga0114964 10001382,5
3300010885 Ga0133913 10008278,5
3300014720 Ga0172376 10003463,5
3300009180 Ga0114979 10000767,5
3300010158 Ga0114960 10002925,5
3300010885 Ga0133913 10008574,5
3300010157 Ga0114964 10001616,5
4764 contig 402 24917,5
3300002835 B570J40625 100004931,5
3300009183 Ga0114974 10000518,5
3300009183 Ga0114974 10000644,5
3300010885 Ga0133913 10006437,5
3300013126 Ga0172367 10002111,5
3300009163 Ga0114970 10000439,5
DSLV1,5
3300013132 Ga0172372 10002666,5
3300010354 Ga0129333 10000799,5
YSLV3,5
4764 contig 1002791 26233,5
3300002835 B570J40625 100004419,5
3300010885 Ga0133913 10007223,5
3300010370 Ga0129336 10000987,5
3300002307 JGI24890J29729 1000442,5
3300009154 Ga0114963 10000572,5
3300012270 Ga0136604 1000462,5
3300005527 Ga0068876 10000772,5
4764 contig 2320000189 21805,5
4764 contig 2367002401 29610,5
3300002835 B570J40625 100003451,5
3300010885 Ga0133913 10009135,5
3300010885 Ga0133913 10010443,5
3300010885 Ga0133913 10016225,5
3300010158 Ga0114960 10002393,5
3300009161 Ga0114966 10001014,5
3300009154 Ga0114963 10002531,5
3300010334 Ga0136644 10000572,5
3300013094 Ga0164297 10003112,5
3300012128 Ga0136582 1000547,5
OLV,5
3300002307 JGI24890J29729 1000652,5
3300010885 Ga0133913 10014576,5
3300013132 Ga0172372 10003608,5
3300013099 Ga0164315 10002992,5
3300014818 Ga0134300 1003182,5
3300007540 Ga0099847 1000087,5
QLV,5
3300009419 Ga0114982 1001210,5
3300010885 Ga0133913 10015411,5
3300013014 Ga0164295 10000960,5
YSLV1,5
3300010885 Ga0133913 10009566,5
3300010885 Ga0133913 10010149,5
3300010883 Ga0133547 10022499,5
3300007540 Ga0099847 1000701,5
3300007345 Ga0070752 1001124,5
3300005613 Ga0074649 1001593,5
3300007540 Ga0099847 1000567,5
3300009154 Ga0114963 10000931,5
3300003820 Ga0007863 1000046,5
3300009151 Ga0114962 10001578,5
3300010885 Ga0133913 10009934,5
3300013004 Ga0164293 10000722,5
3300009159 Ga0114978 10000595,5
3300010885 Ga0133913 10009803,5
