ID,Subfamily
3300006108 Ga0007862 1000466,1
3300007640 Ga0070751 1001973,1
3300009151 Ga0114962 10001691,1
4762 TBL comb47 HYPODRAFT 10005660,1
YSLV7,1
3300009152 Ga0114980 10001820,1
3300014819 Ga0119954 1000547,1
4762 TBL comb47 HYPODRAFT 10005622,1
3300010885 Ga0133913 10020643,1
3300006127 Ga0007805 1000262,1
3300010157 Ga0114964 10001356,1
3300004806 Ga0007854 10001399,1
3300001798 JGI24126J20157 1000438,1
3300009163 Ga0114970 10002242,1
3300010885 Ga0133913 10048336,1
3300002098 JGI24219J26650 1000491,1
3300002098 JGI24219J26650 1000581,1
3300005581 Ga0049081 10000582,1
3300006129 Ga0007834 1000393,1
3300006484 Ga0070744 10000380,1
3300001605 Draft 10009362,1
3300009001 Ga0102963 1001410,1
ATamarense,2
3300012031 Ga0136561 1000418,3
3300000502 M590M2 1006461,3
3300007074 Ga0075110 1001386,3
Mavirus,3
3300012145 Ga0136566 1000368,3
ALM,3
3300004806 Ga0007854 10000594,4
4764 contig 157001142 23327,4
3300002835 B570J40625 100005612,4
4764 contig 2256000135 22196,4
3300002835 B570J40625 100006212,4
3300010885 Ga0133913 10012200,4
YSLV2,4
3300010885 Ga0133913 10036964,4
3300013126 Ga0172367 10002920,4
3300009070 Ga0066256 1002412,4
3300009684 Ga0114958 10002157,4
3300005662 Ga0078894 10001308,4
3300010157 Ga0114964 10001382,4
3300010885 Ga0133913 10008278,4
3300014720 Ga0172376 10003463,4
3300009180 Ga0114979 10000767,4
3300010158 Ga0114960 10002925,4
3300010885 Ga0133913 10008574,4
3300010157 Ga0114964 10001616,4
4764 contig 402 24917,4
3300002835 B570J40625 100004931,4
3300009183 Ga0114974 10000518,4
3300009183 Ga0114974 10000644,4
3300010885 Ga0133913 10006437,4
3300013126 Ga0172367 10002111,4
3300009163 Ga0114970 10000439,4
DSLV1,4
3300013132 Ga0172372 10002666,4
3300010354 Ga0129333 10000799,4
YSLV3,4
4764 contig 1002791 26233,4
3300002835 B570J40625 100004419,4
3300010885 Ga0133913 10007223,4
3300010370 Ga0129336 10000987,4
3300002307 JGI24890J29729 1000442,4
